"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,1355776.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3292193,569.479499,4.104048,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,41.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,417.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,834.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,875.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,958.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,5080.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,18997.875200,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,3289088.000000,NaN,"ns/op",1024,1,none,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3523078,1066.930042,3.961093,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,333.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,792.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,1500.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,1500.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1666.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,9584.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,23606.147200,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,3584000.000000,NaN,"ns/op",1024,1,none,32768
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment","sample",1,3550115,2109.999882,11.709634,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,834.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,2708.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,2788.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,2792.000000,NaN,"ns/op",1024,1,none,65536
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,3000.000000,NaN,"ns/op",1024,1,none,65536
