"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,0.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,125.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,250.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,333.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,625.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,2124.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,18665.977600,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,184064.000000,NaN,"ns/op",1024,1,copyout,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,870400,238.837098,1.476301,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,41.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,208.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,333.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,417.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,709.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,1666.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,18430.716800,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,95744.000000,NaN,"ns/op",1024,1,copyout,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,741147,420.830213,1.683385,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,209.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,375.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,500.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,625.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,833.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,5160.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,17600.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,117632.000000,NaN,"ns/op",1024,1,copyout,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,650334,1239.938135,8.925221,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,833.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,1208.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,1374.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,1458.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1958.000000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,10437.280000,NaN,"ns/op",1024,1,copyout,16384
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,22365.856000,NaN,"ns/op",1024,1,copyout,16384
